callsign|channel|city|state|licensee|lat|lon
WBNG-TV|8|BINGHAMTON|NY|GRAY TELEVISION LICENSEE, LLC|42.058611|-75.951389
WBNS-TV|21|COLUMBUS|OH|WBNS-TV, INC.|39.971111|-83.027778
WBNX-TV|17|AKRON|OH|NEXSTAR MEDIA INC.|41.383889|-81.695278
WBOC-TV|32|SALISBURY|MD|WBOC, INC.|38.505000|-75.643333
WBOY-TV|12|CLARKSBURG|WV|NEXSTAR MEDIA INC.|39.285000|-80.329444
WBPH-TV|9|BETHLEHEM|PA|SONSHINE FAMILY TELEVISION CORP.|40.564444|-75.440000
WBPX-TV|22|BOSTON|MA|ION MEDIA BOSTON LICENSE, LLC|42.384083|-71.493139
WBRA-TV|3|ROANOKE|VA|BLUE RIDGE PUBLIC TELEVISION, INC.|37.196111|-80.154444
WBRC|29|BIRMINGHAM|AL|GRAY TELEVISION LICENSEE, LLC|33.488611|-86.799444
WBRE-TV|11|WILKES-BARRE|PA|NEXSTAR MEDIA INC.|41.182778|-75.873611
WBRZ-TV|13|BATON ROUGE|LA|LOUISIANA TELEVISION BROADCASTING, LLC|30.296944|-91.193611
WBSF|23|BAY CITY|MI|FLINT (WBSF-TV) LICENSEE, INC.|43.216944|-83.721389
WBTV|23|CHARLOTTE|NC|GRAY TELEVISION LICENSEE, LLC|35.364167|-81.186667
WBTW|13|FLORENCE|SC|NEXSTAR MEDIA INC.|34.368056|-79.322222
WBUI|22|DECATUR|IL|GOCOM MEDIA OF ILLINOIS, LLC|39.948889|-88.836917
WBUP|10|ISHPEMING|MI|QUEEN BEE'S KNEES LLC|46.490583|-87.893472
WBUY-TV|26|HOLLY SPRINGS|MS|TRINITY BROADCASTING OF TEXAS, INC.|35.209528|-89.817056
WBXX-TV|31|CROSSVILLE|TN|GRAY TELEVISION LICENSEE, LLC|36.109167|-84.338056
WBZ-TV|20|BOSTON|MA|CBS TELEVISION LICENSES LLC|42.310278|-71.236667
WCAU|28|PHILADELPHIA|PA|NBC TELEMUNDO LICENSE LLC|40.041694|-75.236139
WCAV|32|CHARLOTTESVILLE|VA|CHARLOTTESVILLE TV LLC|37.984500|-78.480861
WCBD-TV|20|CHARLESTON|SC|NEXSTAR MEDIA INC.|32.940278|-79.695556
WCBI-TV|27|COLUMBUS|MS|WCBI-TV, LLC|33.751667|-88.877778
WCBS-TV|36|NEW YORK|NY|CBS BROADCASTING INC.|40.713000|-74.013139
WCCB|18|CHARLOTTE|NC|NORTH CAROLINA BROADCASTING PARTNERS|35.267222|-80.734444
WCCO-TV|32|MINNEAPOLIS|MN|CBS BROADCASTING INC.|45.062500|-93.139444
WCCT-TV|33|WATERBURY|CT|TEGNA BROADCAST HOLDINGS, LLC|41.703611|-72.831944
WCCU|36|URBANA|IL|GOCOM MEDIA OF ILLINOIS, LLC|40.069444|-87.912778
WCES-TV|6|WRENS|GA|GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION|33.259167|-82.285389
WCET|17|CINCINNATI|OH|GREATER CINCINNATI TELEVISON EDUCATIONAL FOUNDATION|39.124167|-84.521667
WCFE-TV|36|PLATTSBURGH|NY|MOUNTAIN LAKE PUBLIC TELECOMMUNICATIONS COUNCIL|44.695278|-73.883056
WCHS-TV|29|CHARLESTON|WV|WCHS LICENSEE, LLC|38.407778|-81.903333
WCIA|34|CHAMPAIGN|IL|NEXSTAR MEDIA INC.|40.105833|-88.450000
WCIQ|12|MOUNT CHEAHA|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|33.485111|-85.808861
WCIU-TV|23|CHICAGO|IL|WCIU-TV LIMITED PARTNERSHIP|41.878917|-87.636167
WCIV|25|CHARLESTON|SC|WMMP LICENSEE L.P.|32.940278|-79.695556
WCIX|11|SPRINGFIELD|IL|NEXSTAR MEDIA INC.|39.790944|-89.514722
